X372 G5 ('M9', 'M6') dur=7 cost=4673
X373 G5 ('M9', 'M6') dur=5 cost=4170
X374 G5 ('M9',) dur=5 cost=3782
X375 G5 ('M9',) dur=4 cost=3278
X376 G5 ('M10', 'M6') dur=7 cost=4873
X377 G5 ('M10', 'M6') dur=5 cost=4370
X378 G5 ('M10',) dur=5 cost=3982
X379 G5 ('M10',) dur=4 cost=3478
X380 G5 ('M1', 'M4') dur=4 cost=1636
X381 G5 ('M1', 'M5') dur=4 cost=1636
X382 G5 ('M1', 'M7') dur=5 cost=2104
X383 G5 ('M1', 'M7') dur=4 cost=1794
X384 G5 ('M1',) dur=3 cost=1696
X385 G5 ('M1',) dur=2 cost=1233
X386 G5 ('M2', 'M8') dur=6 cost=4072
X387 G5 ('M2', 'M8') dur=8 cost=4634
X388 G5 ('M2',) dur=4 cost=3014
X389 G5 ('M2',) dur=5 cost=3576
X390 G5 ('M3', 'M4') dur=4 cost=2034
X391 G5 ('M3', 'M5') dur=4 cost=2034
X392 G5 ('M3',) dur=4 cost=2143
X393 G5 ('M3', 'M7') dur=4 cost=2102
X394 G5 ('M3',) dur=3 cost=1756
X395 G5 ('M3',) dur=3 cost=1631
X396 G5 ('M4', 'M1') dur=5 cost=2100
X397 G5 ('M4', 'M1') dur=4 cost=1636
X398 G5 ('M4', 'M3') dur=5 cost=2159
X399 G5 ('M4', 'M3') dur=5 cost=2034
X400 G5 ('M4',) dur=2 cost=1146
X401 G5 ('M5', 'M1') dur=5 cost=2100
X402 G5 ('M5', 'M1') dur=4 cost=1636
X403 G5 ('M5', 'M3') dur=5 cost=2159
X404 G5 ('M5', 'M3') dur=5 cost=2034
X405 G5 ('M5', 'M7') dur=5 cost=2122
X406 G5 ('M5', 'M7') dur=4 cost=1812
X407 G5 ('M5',) dur=4 cost=1710
X408 G5 ('M5',) dur=2 cost=1146
X409 G5 ('M6', 'M9') dur=6 cost=4191
X410 G5 ('M6', 'M9') dur=5 cost=3688
X411 G5 ('M6', 'M10') dur=7 cost=4391
X412 G5 ('M6', 'M10') dur=6 cost=3888
X413 G5 ('M6',) dur=5 cost=3703
X414 G5 ('M6',) dur=4 cost=3200
X415 G5 ('M3',) dur=4 cost=2773
X416 G5 ('M7', 'M1') dur=4 cost=2257
X417 G5 ('M7', 'M1') dur=3 cost=1794
X418 G5 ('M7', 'M3') dur=4 cost=2228
X419 G5 ('M7', 'M3') dur=4 cost=2102
X420 G5 ('M7', 'M5') dur=3 cost=1812
X421 G5 ('M7',) dur=3 cost=1756
X422 G5 ('M7',) dur=2 cost=1446
X423 G5 ('M8', 'M2') dur=5 cost=4072
X424 G5 ('M8', 'M2') dur=7 cost=4634
X425 G5 ('M8',) dur=4 cost=3418
X426 G5 ('M8',) dur=5 cost=3979
X427 G5 ('M9', 'M6') dur=7 cost=4191
X428 G5 ('M9', 'M6') dur=6 cost=3688
X429 G5 ('M9',) dur=6 cost=3300
X430 G5 ('M9',) dur=5 cost=2796
X431 G5 ('M10', 'M6') dur=7 cost=4391
X432 G5 ('M10', 'M6') dur=6 cost=3888
X433 G5 ('M10',) dur=6 cost=3500
X434 G5 ('M10',) dur=5 cost=2996
X435 G9 ('M1', 'M5') dur=4 cost=2642
X436 G9 ('M1', 'M5') dur=3 cost=2078
X437 G9 ('M1', 'M7') dur=4 cost=2546
X438 G9 ('M1', 'M7') dur=3 cost=2236
X439 G9 ('M1',) dur=3 cost=2138
X440 G9 ('M1',) dur=2 cost=1675
X441 G9 ('M2', 'M8') dur=6 cost=3488
X442 G9 ('M2', 'M8') dur=7 cost=4050
X443 G9 ('M2',) dur=3 cost=2431
X444 G9 ('M2',) dur=5 cost=2993
X445 G9 ('M3', 'M5') dur=5 cost=2701
X446 G9 ('M3', 'M5') dur=4 cost=2138
X447 G9 ('M3',) dur=4 cost=2143
X448 G9 ('M3', 'M7') dur=5 cost=2517
X449 G9 ('M3', 'M7') dur=4 cost=2206
X450 G9 ('M3',) dur=3 cost=1860
X451 G9 ('M3',) dur=3 cost=1735
X452 G9 ('M4',) dur=2 cost=1688
X453 G9 ('M5', 'M1') dur=4 cost=2642
X454 G9 ('M5', 'M3') dur=4 cost=2701
X455 G9 ('M5', 'M7') dur=4 cost=2664
X456 G9 ('M5',) dur=3 cost=2252
X457 G9 ('M5',) dur=2 cost=1688
X458 G9 ('M6', 'M9') dur=7 cost=4673
X459 G9 ('M6', 'M9') dur=5 cost=4170
X460 G9 ('M6', 'M10') dur=8 cost=4873
X461 G9 ('M6', 'M10') dur=6 cost=4370
X462 G9 ('M6',) dur=6 cost=4185
X463 G9 ('M6',) dur=4 cost=3682
X464 G9 ('M3',) dur=4 cost=2773
X465 G9 ('M7', 'M1') dur=5 cost=2546
X466 G9 ('M7', 'M1') dur=4 cost=2083
X467 G9 ('M7', 'M3') dur=5 cost=2517
X468 G9 ('M7', 'M5') dur=5 cost=2664
X469 G9 ('M7', 'M5') dur=4 cost=2101
X470 G9 ('M7',) dur=3 cost=2045
X471 G9 ('M7',) dur=2 cost=1735
X472 G9 ('M8', 'M2') dur=6 cost=3488
X473 G9 ('M8', 'M2') dur=7 cost=4050
X474 G9 ('M8',) dur=5 cost=2834
X475 G9 ('M8',) dur=6 cost=3396
X476 G9 ('M9', 'M6') dur=7 cost=4673
X477 G9 ('M9', 'M6') dur=5 cost=4170
X478 G9 ('M9',) dur=5 cost=3782
X479 G9 ('M9',) dur=4 cost=3278
X480 G9 ('M10', 'M6') dur=7 cost=4873
X481 G9 ('M10', 'M6') dur=5 cost=4370
X482 G9 ('M10',) dur=5 cost=3982
X483 G9 ('M10',) dur=4 cost=3478
X484 G9 ('M1', 'M5') dur=4 cost=1636
X485 G9 ('M1', 'M7') dur=5 cost=2104
X486 G9 ('M1', 'M7') dur=4 cost=1794
X487 G9 ('M1',) dur=3 cost=1696
X488 G9 ('M1',) dur=2 cost=1233
X489 G9 ('M2', 'M8') dur=6 cost=4072
X490 G9 ('M2', 'M8') dur=8 cost=4634
X491 G9 ('M2',) dur=4 cost=3014
X492 G9 ('M2',) dur=5 cost=3576
X493 G9 ('M3', 'M5') dur=4 cost=2034
X494 G9 ('M3',) dur=4 cost=2143
X495 G9 ('M3', 'M7') dur=4 cost=2102
X496 G9 ('M3',) dur=3 cost=1756
X497 G9 ('M3',) dur=3 cost=1631
X498 G9 ('M4',) dur=2 cost=1146
X499 G9 ('M5', 'M1') dur=5 cost=2100
X500 G9 ('M5', 'M1') dur=4 cost=1636
X501 G9 ('M5', 'M3') dur=5 cost=2159
X502 G9 ('M5', 'M3') dur=5 cost=2034
X503 G9 ('M5', 'M7') dur=5 cost=2122
X504 G9 ('M5', 'M7') dur=4 cost=1812
X505 G9 ('M5',) dur=4 cost=1710
X506 G9 ('M5',) dur=2 cost=1146
X507 G9 ('M6', 'M9') dur=6 cost=4191
X508 G9 ('M6', 'M9') dur=5 cost=3688
X509 G9 ('M6', 'M10') dur=7 cost=4391
X510 G9 ('M6', 'M10') dur=6 cost=3888
X511 G9 ('M6',) dur=5 cost=3703
X512 G9 ('M6',) dur=4 cost=3200
X513 G9 ('M3',) dur=4 cost=2773
X514 G9 ('M7', 'M1') dur=4 cost=2257
X515 G9 ('M7', 'M1') dur=3 cost=1794
X516 G9 ('M7', 'M3') dur=4 cost=2228
X517 G9 ('M7', 'M3') dur=4 cost=2102
X518 G9 ('M7', 'M5') dur=3 cost=1812
X519 G9 ('M7',) dur=3 cost=1756
X520 G9 ('M7',) dur=2 cost=1446
X521 G9 ('M8', 'M2') dur=5 cost=4072
X522 G9 ('M8', 'M2') dur=7 cost=4634
X523 G9 ('M8',) dur=4 cost=3418
X524 G9 ('M8',) dur=5 cost=3979
X525 G9 ('M9', 'M6') dur=7 cost=8382
X526 G9 ('M9', 'M6') dur=6 cost=7376
X527 G9 ('M9',) dur=6 cost=6599
X528 G9 ('M9',) dur=5 cost=5593
X529 G9 ('M10', 'M6') dur=7 cost=8782
X530 G9 ('M10', 'M6') dur=6 cost=7776
X531 G9 ('M10',) dur=6 cost=6999
X532 G9 ('M10',) dur=5 cost=5993
X533 G6 ('M1', 'M4') dur=3 cost=1531
X534 G6 ('M1', 'M5') dur=4 cost=1984
X535 G6 ('M1', 'M5') dur=3 cost=1531
X536 G6 ('M1', 'M7') dur=4 cost=1902
X537 G6 ('M1', 'M7') dur=3 cost=1661
X538 G6 ('M1',) dur=3 cost=1621
X539 G6 ('M1',) dur=2 cost=1252
X540 G6 ('M2', 'M8') dur=6 cost=2667
X541 G6 ('M2', 'M8') dur=8 cost=3119
X542 G6 ('M2',) dur=3 cost=1820
X543 G6 ('M2',) dur=5 cost=2272
X544 G6 ('M3', 'M4') dur=4 cost=1577
